Job name,Company name,Star,Lương,Skills,Job Expertise,Job Domain,Kinh nghiệm,Level,Work at,Work days,Company size,Address,Company industry,Company country,link
Backend Developer (Python/ Odoo/ ERP/ CRM/ HRM),IZISOLUTION,,You'll love it,"Python,HRM / HCM,CRM,ERP,Odoo",Backend Developer,IT Services and IT Consulting,,,At office,Monday - Friday,1-50 employees,"Tầng 7, tòa nhà Hoàng Ngọc, Số 4 ngõ 82 Dịch Vọng Hậu Cầu Giấy, Phường Yên Hòa, Cau Giay, Ha Noi",IT Services and IT Consulting,Vietnam,https://itviec.com/it-jobs/backend-developer-python-odoo-erp-crm-hrm-izisolution-5541
(Fresher) Business Analyst (BA),CÔNG TY CỔ PHẦN INECSO,,You'll love it,"Business Analysis,Shopify,UI-UX",Business Analyst,"E-commerce,Software Development Outsourcing",,,At office,Monday - Friday,1-50 employees,"Số 46, ngõ 36 phố Giang Văn Minh, Phường Đội Cấn, Ba Dinh, Ha Noi",Software Development Outsourcing,Vietnam,https://itviec.com/it-jobs/fresher-business-analyst-ba-cong-ty-co-phan-inecso-5614
"Software Engineer (AI-driven, GenerativeAI)",MOSO Việt Nam,,"500 - 1,500 USD","AI,Python,Generative AI,NodeJS",AI / Machine Learning Engineer,"IT Services and IT Consulting,Software Products and Web Services,Financial Services,Emerging Tech R&D,AI Software & Services",,,At office,Monday - Friday,1-50 employees,"63 Lương Nhữ Học, Phường Chợ Lớn, TP.HCM, District 5, Ho Chi Minh",Software Products and Web Services,Vietnam,https://itviec.com/it-jobs/software-engineer-ai-driven-generativeai-moso-viet-nam-2837
"DevOps Engineer (Linux, Docker, AWS)",AthenaFS,,You'll love it,"DevOps,Cisco,AWS,Kubernetes,Docker,Linux",DevOps Engineer,"IT Services and IT Consulting,AI Software & Services",,,At office,Monday - Friday,1-50 employees,"Toà nhà AC, Ngõ 78 Duy Tân, Cau Giay, Ha Noi",IT Services and IT Consulting,Vietnam,https://itviec.com/it-jobs/devops-engineer-linux-docker-aws-athenafs-0518
Senior IT Risks Management Specialist,MB Bank,4.9,You'll love it,"Risk Management,Pentest,Tableau,Data Analysis,Python,SQL",IT Auditor / IT Risk Manager,"Banking,Financial Services",,,At office,Monday - Friday,1000+ employees,"Tòa nhà MB, số 18 Lê Văn Lương, Cau Giay, Ha Noi",Banking,Vietnam,https://itviec.com/it-jobs/senior-it-risks-management-specialist-mb-bank-5958
Symfony Developer (3+ Years),Athena,,"1,000 - 1,300 USD","Symphony,Git,Docker,API,MySQL,PHP",Backend Developer,"IT Services and IT Consulting,Software Products and Web Services",,,At office,Monday - Friday,1-50 employees,"150 Tran Nao, An Khanh, Ho Chi Minh city, Thu Duc City, Ho Chi Minh",Software Products and Web Services,France,https://itviec.com/it-jobs/symfony-developer-3-years-athena-2529
4 Senior Fullstack Engineer (TypeScript/ReactJS/NextJS),BEWAO CORPORATION,,Up to 55m,"ReactJS,NestJS,NextJS,TypeScript,React Native,SQL",Fullstack Developer,Healthcare,,,At office,Monday - Friday,1-50 employees,"95-97 Nguyễn Cơ Thạch, Phường An Lợi Đông, Thành phố Thủ Đức, TP Hồ Chí Minh, Thu Duc City, Ho Chi Minh",Software Products and Web Services,Vietnam,https://itviec.com/it-jobs/senior-fullstack-engineer-typescript-reactjs-nextjs-bewao-corporation-0831
"Backend Engineer (Java, Spring Boot)",Smilegate Vietnam,4.5,Let's discuss,"Java,Spring Boot,SQL",Backend Developer,"Game,Media, Advertising and Entertainment,Software Products and Web Services",,,At office,Monday - Friday,51-150 employees,"CII Tower, 152 Dien Bien Phu, Ward 25, Binh Thanh, Ho Chi Minh",Game,South Korea,https://itviec.com/it-jobs/backend-engineer-java-spring-boot-smilegate-vietnam-4627
"Senior Software Developer (Java, English)",Netcompany,4.4,You'll love it,"Java,Spring Boot,Spring,English",Backend Developer,IT Services and IT Consulting,,,At office,Monday - Friday,1000+ employees,"Floors 24-25-26-27-29-31, Opal Tower. 92 Nguyen Huu Canh Street, Binh Thanh, Ho Chi Minh",IT Services and IT Consulting,Denmark,https://itviec.com/it-jobs/senior-software-developer-java-english-netcompany-4654
Senior QA Manager,4GOO,,Based on experience,"QA QC,English,Tester,Jira,API",Process Quality Assurance (PQA),"E-commerce,Banking,Media, Advertising and Entertainment,Trading and Commercial",,,Remote,Monday - Friday,1-50 employees,"From Home, Thu Duc City, Ho Chi Minh",AI Software & Services,Germany,https://itviec.com/it-jobs/senior-qa-manager-4goo-0635
"Senior Backend Developer (PHP, Laravel, MySQL, Kafka)",CUBICSTACK SOLUTIONS,,"1,000 - 1,800 USD","PHP,Microservices Architecture,Laravel,Database,MySQL,AWS",Backend Developer,Financial Services,,,At office,Monday - Friday,1-50 employees,"Charmington La Pointe Officetel Apartments, 181 Cao Thang St, District 10, Ho Chi Minh",Financial Services,Vietnam,https://itviec.com/it-jobs/senior-backend-developer-php-laravel-mysql-kafka-cubicstack-solutions-2050
Senior Automation Tester,Techcombank,3.6,You'll love it,"Automation Test,C++,Java,Selenium,Agile,Tester",Automation Tester,"Banking,Financial Services",,,At office,Monday - Friday,1000+ employees,"C5 Building Tower, D’Capitale Tower, 119 Tran Duy Hung, Cau Giay, Ha Noi",Banking,Vietnam,https://itviec.com/it-jobs/senior-automation-tester-techcombank-1502
DevOps Engineer,M_Service (MoMo),3.8,You'll love it,"DevOps,GCP,AWS,Linux,PostgreSql,Python",DevOps Engineer,Financial Services,,,At office,Monday - Friday,1000+ employees,"6th Floor, Phu My Hung Tower, 08 Hoang Van Thai Str, Tan Mỹ Ward, District 7, Ho Chi Minh",Financial Services,Vietnam,https://itviec.com/it-jobs/devops-engineer-m_service-momo-1959
